H1,"Always Tell Your Wife",1922,Hitchcock,Drama
H2,"Number Thirteen",1922,Hitchcock,null
H3,"Woman to Woman",1922,Cutts,Drama
H4,"The Passionate Adventure",1924,Cutts,null
H5,"The Blackguard",1925,Cutts,null
H7,"The Pleasure Garden",1927,Hitchcock,Drama
H8,"The Mountain Eagle",1927,Hitchcock,Drama
H9,"The Lodger: A Story of The London Fog",1927,Hitchcock,Thriller
H10,"Downhill",1927,Hitchcock,Thriller
H11,"Easy Virtue",1927,Hitchcock,Thriller
H12,"The Ring",1927,Hitchcock,Thriller
H13,"The Farmer's Wife",1928,Hitchcock,Thriller
H14,"Champagne",1928,Hitchcock,Romance
H15,"Harmony Heaven",1929,Thomas Bentley,Thriller
H16,"The Manxman",1929,Hitchcock,Thriller
H17,"Blackmail",1929,Hitchcock,Thriller
H18,"Elstree Calling",1929,Paul Murray,Musical
H19,"Juno And The Paycock",1930,Hitchcock,Thriller
H20,"Murder!",1930,Hitchcock,Mystery
H21,"The Skin Game",1931,Hitchcock,Drama
H22,"Rich and Strange",1932,Hitchcock,null
H23,"Number Seventeen",1932,Hitchcock,Mystery
H24,"Lord Camber's Ladies",1932,Benn~Levy,Thriller
H25,"Waltzes From Vienna",1933,Hitchcock,Comedy
H26,"The Man Who Knew Too Much",1934,Hitchcock,Thriller
H27,"The 39 Steps",1935,Hitchcock,Thriller
H28,"Secret Agent",1936,Hitchcock,Thriller
H29,"Sabotage",1936,Hitchcock,Thriller
H30,"Young and Innocent",1938,Hitchcock,Thriller
H31,"The Lady Vanishes",1938,Hitchcock,Thriller
H32,"Jamaica Inn",1939,Hitchcock,Drama
H33,"Rebecca",1940,Hitchcock,Drama
H34,"Foreign Correspondent",1940,Hitchcock,Thriller
H35,"Mr.~and Mrs.~Smith",1941,Hitchcock,Romance
H36,"Suspicion",1941,Hitchcock,Thriller
H37,"Saboteur",1942,Hitchcock,Thriller
H38,"Shadow of a Doubt",1943,Hitchcock,Thriller
H39,"Lifeboat",1943,Hitchcock,Thriller
H42,"Spellbound",1945,Hitchcock,Thriller
H43,"Notorious",1946,Hitchcock,Thriller
H44,"The Paradine Case",1947,Hitchcock,Thriller
H45,"Rope",1948,Hitchcock,Thriller
