ZlK9425482,William Aames,1960
ZlK9425483,George Abbott,1887
ZlK9425484,Philip Abbott,1923
ZlK9425485,Joss Ackland,1928
ZlK9425486,Rodolfo Acosta,1920
ZlK9425487,Jean Adair,1872
ZlK9425488,Ronald Adam,1896
ZlK9425489,Brooke Adams,1949
ZlK9425490,Dorothy Adams,1915
ZlK9425491,Jane Adams,1921
ZlK9425492,Betty May (Julia) Adams,1926
ZlK9425493,Nicholas Adamschock,1931
ZlK9425494,Tome Adams,1938
ZlK9425495,Wesley Addy,1912
ZlK9425496,Jay Adler,1899
ZlK9425497,Jeanne de la Font\`e,1898
ZlK9425498,Max Bor,1902
ZlK9425499,Casey Affleck,0
ZlK9425500,fn bn,1960
ZlK9425501,Brian Aherne,1902
ZlK9425502,Fran{\c}coise Sorya Dreyfus,1932
ZlK9425503,Muriel Aked,1887
ZlK9425504,Serap Aksoy,0
ZlK9425505,Han Albers,1892
ZlK9425506,Edward Albert,1951
ZlK9425507,Jack Albertson,1907
ZlK9425508,Hardy Albrecht,1903
ZlK9425509,Alan Alda,1936
ZlK9425510,John Alderton,1940
ZlK9425511,Jane Quigley,1939
ZlK9425512,Katherine Alexander,1901
ZlK9425513,Terence Alexander,1923
ZlK9425514,Dorothy Alison,1925
ZlK9425515,William Alland,1916
ZlK9425516,Elizabeth Gillease,1934
ZlK9425517,Gracie Allen,1902
ZlK9425518,Nancy Allen,1954
ZlK9425519,Steve Allen,1921
ZlK9425520,Kirstie Alley,0
ZlK9425521,Claud Palmer,1891
ZlK9425522,Ella Geisman,1917
ZlK9425523,Kirk Alyn,1910
ZlK9425524,Leon Wycoff,1903
ZlK9425525,Suzy Amis,1962
ZlK9425526,Glenn Anders,1889
ZlK9425527,Merry Anders,1932
ZlK9425528,Max Aronson,1882
ZlK9425529,Herbert Anderson,1917
ZlK9425530,John Anderson,1922
ZlK9425531,Lindsay Anderson,1923
ZlK9425532,Mary Anderson,1920
ZlK9425533,Richard Anderson,1926
ZlK9425534,Warner Anderson,1911
ZlK9425535,Harriet Andersson,1932
ZlK9425536,Anthony Andrews,1948
ZlK9425537,\'Eamonn Andrews,0
ZlK9425538,Harry Andrews,1911
ZlK9425539,Stanley Andrews,1892
ZlK9425540,Anna Maria Pierangeli,1932
ZlK9425541,M.A. Findlay,1909
ZlK9425542,Stephen Morris,1896
ZlK9425543,Ann-Margret Olsson,1941
ZlK9425544,Susan Anspach,1939
ZlK9425545,Burnu Davenbort,1920
ZlK9425546,Anne Archer,0
ZlK9425547,Eunice Quedens,1912
ZlK9425548,Cornelius van Mattemore,1898
ZlK9425549,George Augustus Andrews,1868
ZlK9425550,Henry Armetta,1888
ZlK9425551,Louis `Satchmo' Armstrong,1900
ZlK9425552,Donald Robert Smith,1890
ZlK9425553,Yvonne Arnaud,1892
ZlK9425554,Desiderio Arnaz y de Acha,1915
ZlK9425555,Peter Arne Albrecht,1920
ZlK9425556,Guenther Schneider,1890
ZlK9425557,Antonin Artaud,1895
ZlK9425558,G.K.A. Brest,1899
ZlK9425559,Linda Arvidson-Griffith,1884
ZlK9425560,Jane Asher,1946
ZlK9425561,E.A. Cooper,1904
ZlK9425562,Luke Askew,0
ZlK9425563,Edward Asner,1929
ZlK9425564,Nils Asther,1897
ZlK9425565,Patty Duke Astin,1946
